Time;F;
   4.930; 3.222;
   4.940; 3.222;
   4.950; 3.220;
   4.960; 3.221;
   4.970; 3.221;
   4.980; 3.221;
   4.990; 3.221;
   5.000; 3.221;
   5.010; 3.221;
   5.020; 3.221;
   5.030; 3.221;
   5.040; 3.220;
   5.050; 3.220;
   5.060; 3.221;
   5.070; 3.221;
   5.080; 3.223;
   5.090; 3.223;
   5.100; 3.224;
   5.110; 3.221;
   5.120; 3.223;
   5.130; 3.223;
   5.140; 3.223;
   5.150; 3.223;
   5.160; 3.223;
   5.170; 3.221;
   5.180; 3.221;
   5.190; 3.221;
   5.200; 3.222;
   5.210; 3.223;
   5.220; 3.222;
   5.230; 3.222;
   5.240; 3.223;
   5.250; 3.223;
   5.260; 3.224;
   5.270; 3.223;
   5.280; 3.223;
   5.290; 3.224;
   5.300; 3.223;
   5.310; 3.224;
   5.320; 3.226;
   5.330; 3.226;
   5.340; 3.225;
   5.350; 3.224;
   5.360; 3.226;
   5.370; 3.226;
   5.380; 3.225;
   5.390; 3.227;
   5.400; 3.226;
   5.410; 3.226;
   5.420; 3.226;
   5.430; 3.226;
   5.440; 3.226;
   5.450; 3.226;
   5.460; 3.226;
   5.470; 3.227;
   5.480; 3.229;
   5.490; 3.228;
   5.500; 3.228;
   5.510; 3.228;
   5.520; 3.229;
   5.530; 3.229;
   5.540; 3.230;
   5.550; 3.230;
   5.560; 3.230;
   5.570; 3.230;
   5.580; 3.230;
   5.590; 3.229;
   5.600; 3.231;
   5.610; 3.231;
   5.620; 3.230;
   5.630; 3.230;
   5.640; 3.232;
   5.650; 3.233;
   5.660; 3.232;
   5.670; 3.232;
   5.680; 3.233;
   5.690; 3.234;
   5.700; 3.234;
   5.710; 3.232;
   5.720; 3.233;
   5.730; 3.234;
   5.740; 3.231;
   5.750; 3.233;
   5.760; 3.233;
   5.770; 3.233;
   5.780; 3.233;
   5.790; 3.232;
   5.800; 3.234;
   5.810; 3.233;
   5.820; 3.233;
   5.830; 3.234;
   5.840; 3.234;
   5.850; 3.234;
   5.860; 3.235;
   5.870; 3.235;
   5.880; 3.235;
   5.890; 3.235;
   5.900; 3.235;
   5.910; 3.233;
   5.920; 3.234;
   5.930; 3.234;
   5.940; 3.233;
   5.950; 3.234;
   5.960; 3.235;
   5.970; 3.236;
   5.980; 3.236;
   5.990; 3.233;
   6.000; 3.235;
   6.010; 3.235;
   6.020; 3.234;
   6.030; 3.233;
   6.040; 3.236;
   6.050; 3.237;
   6.060; 3.238;
   6.070; 3.237;
   6.080; 3.237;
   6.090; 3.237;
   6.100; 3.238;
   6.110; 3.237;
   6.120; 3.237;
   6.130; 3.237;
   6.140; 3.236;
   6.150; 3.237;
   6.160; 3.236;
   6.170; 3.237;
   6.180; 3.237;
   6.190; 3.238;
   6.200; 3.237;
   6.210; 3.237;
   6.220; 3.237;
   6.230; 3.237;
   6.240; 3.237;
   6.250; 3.236;
   6.260; 3.239;
   6.270; 3.239;
   6.280; 3.240;
   6.290; 3.240;
   6.300; 3.239;
   6.310; 3.240;
   6.320; 3.240;
   6.330; 3.241;
   6.340; 3.241;
   6.350; 3.241;
   6.360; 3.242;
   6.370; 3.242;
   6.380; 3.243;
   6.390; 3.242;
   6.400; 3.244;
   6.410; 3.245;
   6.420; 3.245;
   6.430; 3.245;
   6.440; 3.246;
   6.450; 3.244;
   6.460; 3.245;
   6.470; 3.244;
   6.480; 3.245;
   6.490; 3.244;
   6.500; 3.242;
   6.510; 3.242;
   6.520; 3.244;
   6.530; 3.242;
   6.540; 3.243;
   6.550; 3.243;
   6.560; 3.243;
   6.570; 3.243;
   6.580; 3.244;
   6.590; 3.244;
   6.600; 3.245;
   6.610; 3.246;
   6.620; 3.245;
   6.630; 3.245;
   6.640; 3.246;
   6.650; 3.246;
   6.660; 3.247;
   6.670; 3.247;
   6.680; 3.248;
   6.690; 3.248;
   6.700; 3.247;
   6.710; 3.246;
   6.720; 3.248;
   6.730; 3.248;
   6.740; 3.247;
   6.750; 3.247;
   6.760; 3.247;
   6.770; 3.247;
   6.780; 3.248;
   6.790; 3.249;
   6.800; 3.249;
   6.810; 3.249;
   6.820; 3.248;
   6.830; 3.249;
   6.840; 3.251;
   6.850; 3.248;
   6.860; 3.249;
   6.870; 3.247;
   6.880; 3.250;
   6.890; 3.248;
   6.900; 3.248;
   6.910; 3.247;
   6.920; 3.248;
   6.930; 3.248;
   6.940; 3.249;
   6.950; 3.249;
   6.960; 3.250;
   6.970; 3.249;
   6.980; 3.250;
   6.990; 3.250;
   7.000; 3.251;
   7.010; 3.251;
   7.020; 3.250;
   7.030; 3.250;
   7.040; 3.252;
   7.050; 3.252;
   7.060; 3.253;
   7.070; 3.253;
   7.080; 3.253;
   7.090; 3.251;
   7.100; 3.250;
   7.110; 3.252;
   7.120; 3.252;
   7.130; 3.252;
   7.140; 3.252;
   7.150; 3.253;
   7.160; 3.254;
   7.170; 3.252;
   7.180; 3.251;
   7.190; 3.253;
   7.200; 3.253;
   7.210; 3.253;
   7.220; 3.253;
   7.230; 3.253;
   7.240; 3.252;
   7.250; 3.253;
   7.260; 3.253;
